A,B,C,D,E,F,P,runnerName
0.6452,0.1677,0.071,0.0387,0.0129,0.0129,0.0516,ђi“Ў—О—ў
0.6893,0.1836,0.0706,0.0254,0.0226,0.0085,,Ќ‚‹ґ—“Ю
0.6562,0.1696,0.0402,0.0357,0.0491,0.0089,0.0402,ЋRЌЄ–G‰Б
0.6609,0.1739,0.113,0.0174,0.0174,0.0174,,ђz–K‰ДЉC
0.6916,0.163,0.0969,0.022,0.0176,0.0088,,ђґ–мЌK
0.7793,0.1103,0.069,0.0069,0.0138,0.0138,0.0069,ђВ‘гЌЃЌШЋq
0.6474,0.1859,0.0641,0.0449,0.0321,0.0128,0.0128,•y‰i–њ—R
0.5041,0.1626,0.0813,,0.065,0.0488,0.1382,“nзі—TЋq
0.6425,0.1836,0.0725,0.0242,0.0242,0.0435,0.0097,ђ{–{‚Э‚ё‚Щ
0.6357,0.2214,0.0643,0.0429,0.0214,0.0143,,€ў•”—I
0.6106,0.1947,0.0796,0.0442,0.0177,0.0354,0.0177,”Є–Ш‹ґ‚Ь‚ў
0.6359,0.2228,0.0598,0.038,0.0217,0.0217,,Џј“cђз‰К
0.721,0.1845,0.0558,0.0172,0.0129,0.0086,,ЌЃЋжђђ•д
0.6424,0.1758,0.0727,0.0424,0.0364,0.0182,0.0121,ЏHЋR”ь—е
0.7668,0.13,0.0717,0.0135,0.0135,0.0045,,ђў—ЗЋj‰А
0.68,0.1333,0.08,0.0267,0.0267,,0.0533,€Й“Њ‰БђD
0.7617,0.1332,0.0607,0.0117,0.0117,0.0023,0.0187,‘ќаV‚·‚ё
0.5979,0.2169,0.037,0.0212,0.0053,0.0053,0.1164,‰iЋRЏ®‰А
0.6795,0.1709,0.0769,0.0342,0.0299,0.0085,,ЊЬЏ\—’‰H‘t
0.621,0.1452,0.1008,0.0524,0.0444,0.004,0.0323,Џ¬’|‰А•д
0.773,0.1724,0.0402,0.0086,0.0029,0.0029,,€Й•”‹Х”ь
0.6148,0.1803,0.0984,0.0328,0.0492,0.0082,0.0164,ЊГ’J’ј‰›
0.5769,0.1538,0.1538,0.0481,0.0288,0.0192,0.0192,ЌІ“ЎЋ¬Ћq
0.6354,0.2292,0.1042,0.0104,0.0208,,,—й–ШЌзЉу
0.7003,0.1512,0.0743,0.0424,0.0212,0.0106,,Џo“c—БЋq
0.668,0.1815,0.0811,0.0232,0.0309,0.0154,,Џ¬—С”ьЌз
0.7254,0.1662,0.068,0.0227,0.005,0.005,0.0076,‰Н‘є—D‰Ф
0.5897,0.1398,0.1125,0.0486,0.0547,0.0304,0.0243,a”g–ѕ“ъЌЃ
0.6859,0.2083,0.0609,0.016,0.0192,,0.0096,Џ¬—С—SЋq
0.6497,0.203,0.0711,0.0355,0.0305,0.0102,,Љвн•—C”ь
0.6541,0.2406,0.0602,0.0301,0.0075,0.0075,,ЋВ’Л‚Э‚ё‚«
0.56,0.1422,0.12,0.0444,0.0444,0.0444,0.0444,‰Н–мЋм—ў€џ
0.7382,0.1824,0.0588,0.0088,0.0118,,,‹{–{a‘t
